regulator,target,weight
arcA,moeB,1
arcA,cydA,1
arcA,cydB,1
arcA,cyoA,-1
arcA,cyoB,-1
arcA,cyoC,-1
arcA,cyoD,-1
arcA,cyoE,-1
arcA,fadL,-1
arcA,fnr,-1
arcA,fumA,-1
arcA,fumB,1
arcA,fumC,-1
arcA,glpA,-1
arcA,glpB,-1
arcA,glpC,-1
arcA,glpD,-1
arcA,gltA,-1
arcA,hemA,1
arcA,rpoS,-1
arcA,lpd,-1
arcA,mdh,-1
arcA,ndh,1
arcA,oppA,-1
arcA,oppB,-1
arcA,oppC,-1
arcA,oppD,-1
arcA,oppF,-1
arcA,pflB,1
arcA,prfA,1
arcA,nuoH,-1
arcA,nuoI,-1
arcA,nuoJ,-1
arcA,nuoK,-1
arcA,nuoL,-1
arcA,nuoN,-1
arcA,treB,1
arcA,gadX,1
arcA,acnB,-1
arcA,prmC,1
arcA,caiE,1
arcA,dctA,-1
arcA,glcB,-1
arcA,xylR,1
arcA,gadA,1
arcA,glcF,-1
arcA,rutG,1
arcA,rutF,1
arcA,rutE,1
arcA,rutD,1
arcA,rutC,1
arcA,rutB,1
arcA,rutA,1
arcA,glcA,-1
arcA,glcG,-1
arcA,glcE,-1
arcA,glcD,-1
arcA,hybO,-1
arcA,cydC,1
arcA,aceA,-1
arcA,aceB,-1
arcA,aceE,-1
arcA,aceF,-1
arcA,aceK,-1
arcA,betB,-1
arcA,betI,-1
arcA,betT,-1
arcA,cadA,-1
arcA,cadB,-1
arcA,moeA,1
arcA,ptsG,-1
arcA,rplB,-1
arcA,rpmC,-1
arcA,rpsS,-1
arcA,sdhA,1
arcA,sdhB,-1
arcA,sdhC,1
arcA,sdhD,1
arcA,sodA,-1
arcA,sucA,-1
arcA,sucB,1
arcA,sucC,-1
arcA,sucD,-1
arcA,focA,1
arcA,rhaT,-1
arcA,acnA,-1
arcA,ubiC,-1
arcA,ubiA,-1
arcA,treC,1
arcA,cydD,1
arcA,caiD,1
arcA,caiC,1
arcA,caiB,1
