from;to;weight;type
Pole;Pola1;0.999;regulation
Cct4;Cct3;0.999;regulation
Lsm2;Snrpd1;0.999;regulation
Ccne1;Cdkn1b;0.999;regulation
Cdk4;Cdkn1b;0.998;regulation
Ccne1;Cdk4;0.998;regulation
Eif2b2;Eif2b5;0.998;regulation
Polr2e;Supt5h;0.997;regulation
Gtf2h1;Gtf2h4;0.997;regulation
Polr2e;Polr3d;0.996;regulation
Tgfbr1;Tgfb1;0.996;regulation
Arid1a;Smarcb1;0.996;regulation
Cdk4;Ccnd2;0.996;regulation
Cdkn1b;Akt1;0.995;regulation
Ctr9;Supt5h;0.995;regulation
Dnmt1;Uhrf1;0.995;regulation
Rpl3l;Mrpl2;0.994;regulation
Polr2e;Gtf2h4;0.992;regulation
Bcl2l1;Akt1;0.989;regulation
Fance;Fancl;0.989;regulation
Lcp2;Lck;0.988;regulation
Atp6v1f;Tcirg1;0.988;regulation
Pola1;Rpa1;0.988;regulation
Lck;Stat3;0.985;regulation
Bcl2l1;Bbc3;0.985;regulation
Ncoa2;Kat2b;0.981;regulation
Dlst;Dlat;0.980;regulation
Prkaca;Prkacb;0.978;regulation
Wdr77;Cdk4;0.977;regulation
Cdkn1b;Ccnd2;0.977;regulation
Pole;Rpa1;0.975;regulation
Bcas2;Snrpd1;0.974;regulation
Smg9;Smg5;0.971;regulation
Icam2;Itgb2;0.970;regulation
Aprt;Ampd3;0.969;regulation
Lck;Akt1;0.969;regulation
Dlat;Pdk1;0.969;regulation
Nhp2;Emg1;0.969;regulation
Lck;Ptpn6;0.968;regulation
Cdt1;Cdkn1b;0.968;regulation
Ddx56;Ddx18;0.967;regulation
Itga5;Itgb7;0.965;regulation
Ggct;Ggt1;0.965;regulation
Pard6a;Tgfbr1;0.965;regulation
Rhoc;Gna12;0.963;regulation
Bcl2l1;Bid;0.963;regulation
Clpp;Clpb;0.962;regulation
Lcp2;Grap;0.961;regulation
Ddx56;Pwp1;0.960;regulation
Hnrnpd;Snrpd1;0.958;regulation
Rad51c;Rpa1;0.958;regulation
Lcp2;Ptpn6;0.955;regulation
Dlst;Gcdh;0.955;regulation
Fancl;Rpa1;0.955;regulation
Homer1;Homer3;0.954;regulation
Stat3;Bcl2l1;0.954;regulation
Hnrnpd;Lsm2;0.951;regulation
Rad51c;Top3a;0.950;regulation
Fance;Rpa1;0.950;regulation
Arhgef18;Rhoc;0.949;regulation
Cdk4;Rpa1;0.947;regulation
Ddx39;Chtop;0.946;regulation
Stat3;Il12rb1;0.943;regulation
Hnrnpd;Bcas2;0.943;regulation
Top3a;Rpa1;0.941;regulation
Rsl1d1;Ddx56;0.940;regulation
Lsm2;Bcas2;0.938;regulation
Spo11;Rpa1;0.938;regulation
Ppan;Rrp15;0.937;regulation
Ocrl;Hip1r;0.937;regulation
Cdk4;Smarcb1;0.934;regulation
Ddb2;Rpa1;0.933;regulation
Polr2e;Snrpd1;0.932;regulation
Itga5;Itgb2;0.930;regulation
Wdr77;Snrpd1;0.930;regulation
Ap1m2;Ocrl;0.929;regulation
Spo11;Cdk4;0.927;regulation
Mark3;Map3k11;0.926;regulation
Calr;Apoe;0.924;regulation
Timm50;Tomm40;0.924;regulation
Ap1m2;Hip1r;0.921;regulation
Atp5g1;Atp6v1f;0.920;regulation
Rhoc;Ocrl;0.919;regulation
Mark3;Map2k1;0.918;regulation
Brpf1;Akt1;0.918;regulation
Lsm2;Polr2e;0.917;regulation
Lck;Cd44;0.917;regulation
Ccdc130;Naa20;0.916;regulation
Dlat;Txnrd3;0.916;regulation
Polr2e;Kat2b;0.915;regulation
Stat3;Akt1;0.914;regulation
Ddb2;Gtf2h4;0.914;regulation
Foxm1;Cdc20;0.914;regulation
Zbtb32;Fance;0.913;regulation
Tpr;Snrpd1;0.913;regulation
