id;type
Pole;Protein
Cct4;Protein
Lsm2;Protein
Ccne1;Protein
Cdk4;Protein
Eif2b2;Protein
Polr2e;Protein
Gtf2h1;Protein
Tgfbr1;Protein
Arid1a;Protein
Cdkn1b;Protein
Ctr9;Protein
Dnmt1;Protein
Rpl3l;Protein
Bcl2l1;Protein
Fance;Protein
Lcp2;Protein
Atp6v1f;Protein
Pola1;Protein
Lck;Protein
Ncoa2;Protein
Dlst;Protein
Prkaca;Protein
Wdr77;Protein
Bcas2;Protein
Smg9;Protein
Icam2;Protein
Aprt;Protein
Dlat;Protein
Nhp2;Protein
Cdt1;Protein
Ddx56;Protein
Itga5;Protein
Ggct;Protein
Pard6a;Protein
Rhoc;Protein
Clpp;Protein
Hnrnpd;Protein
Rad51c;Protein
Fancl;Protein
Homer1;Protein
Stat3;Protein
Arhgef18;Protein
Ddx39;Protein
Top3a;Protein
Rsl1d1;Protein
Spo11;Protein
Ppan;Protein
Ocrl;Protein
Ddb2;Protein
Ap1m2;Protein
Mark3;Protein
Calr;Protein
Timm50;Protein
Atp5g1;Protein
Brpf1;Protein
Ccdc130;Protein
Foxm1;Protein
Zbtb32;Protein
Tpr;Protein
Impdh1;Protein
Bid;Protein
Gtf2h4;Protein
Arpc2;Protein
Eps15l1;Protein
Supt5h;Protein
Apoe;Protein
Agpat3;Protein
Hnrnpa0;Protein
Baz1b;Protein
Ctsd;Protein
Prkacb;Protein
Emid2;Protein
Sod2;Protein
Plod3;Protein
Ufd1l;Protein
Gcat;Protein
Snapin;Protein
Ptrf;Protein
Pld3;Protein
Syce2;Protein
Trap1;Protein
Crtc1;Protein
Cdc20;Protein
Ranbp1;Protein
Gab2;Protein
Lamb1;Protein
Trmt1;Protein
Tgfb1;Protein
Dnajb1;Protein
Emg1;Protein
Csnk1g2;Protein
Hmox1;Protein
Pwp1;Protein
Hdac9;Protein
Akr1b3;Protein
Insrr;Protein
Cd44;Protein
Ruvbl2;TF
Daxx;TF
Por;TF
Vars;TF
Tomm40;TF
Utp20;TF
Dnaja3;TF
Mcm3ap;TF
Clint1;TF
Itgb7;TF
Map2k1;TF
Nfix;TF
Mmp14;TF
Wbscr22;TF
Tspan32;TF
Mettl1;TF
Senp3;TF
Ptpn6;TF
Rps6ka1;TF
Smarcb1;TF
Pex1;TF
Dvl3;TF
Sgta;TF
Cd36;TF
Bbc3;TF
Akt1;TF
Smo;TF
Txn2;TF
Tfam;TF
Nob1;TF
Cct3;TF
Snrpd1;TF
Eif2b5;TF
Polr3d;TF
Ccnd2;TF
Uhrf1;TF
Mrpl2;TF
Tcirg1;TF
Rpa1;TF
Kat2b;TF
Smg5;TF
Itgb2;TF
Ampd3;TF
Pdk1;TF
Ddx18;TF
Ggt1;TF
Gna12;TF
Clpb;TF
Grap;TF
Gcdh;TF
Homer3;TF
Chtop;TF
Il12rb1;TF
Rrp15;TF
Hip1r;TF
Map3k11;TF
Naa20;TF
Txnrd3;TF
Cd320;TF
Dgke;TF
Tulp3;TF
Col5a3;TF
Mll1;TF
Ppard;TF
Tubgcp3;TF
Gnmt;TF
Med29;TF
Pemt;TF
Tinf2;TF
Dnase2a;TF
Ppp5c;TF
Xpo6;TF
Nsun5;TF
Rtcd1;TF
Dgcr14;TF
Gys1;TF
Nr1h3;TF
Top1mt;TF
Mef2d;TF
Hk2;TF
Lipe;TF
Pih1d2;TF
Tomm40l;TF
Pnpla6;TF
Oxa1l;TF
Ncstn;TF
Rad23a;TF
Idh3g;TF
