Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Multiple Sclerosis	C0026769	CLEC16A	23274	Q2KHT3	C-type lectin domain containing 16A		67	0.612	0.654	0.27595	0.5		1.0	29	16	2009	2020
Multiple Sclerosis	C0026769	HLA-DRB1	3123	P01911	major histocompatibility complex, class II, DR beta 1	Immune response	1018	0.333	0.923	0.0010997	0.5		0.923	323	5	1992	2020
Multiple Sclerosis	C0026769	IL2RA	3559	P01589	interleukin 2 receptor subunit alpha	Receptor	540	0.389	0.885	0.054709	0.5		0.985	68	11	1994	2019
Multiple Sclerosis	C0026769	IL7R	3575	P16871	interleukin 7 receptor	Receptor	231	0.487	0.769	3.763e-07	0.5		0.982	55	7	2003	2019
Multiple Sclerosis	C0026769	TNFRSF1A	7132	P19438	TNF receptor superfamily member 1A		487	0.409	0.923	0.9949	0.5		0.97	33	4	1999	2019
Multiple Sclerosis	C0026769	CD40	958	P25942	CD40 molecule		528	0.396	0.846	0.84603	0.5		0.958	24	2	2000	2019
Multiple Sclerosis	C0026769	CD58	965	P19256	CD58 molecule		80	0.584	0.769	0.25092	0.5		1.0	24	5	2008	2019
Multiple Sclerosis	C0026769	TYK2	7297	P29597	tyrosine kinase 2	Kinase	172	0.505	0.769	4.4963e-08	0.49		1.0	10	2	2009	2014
Multiple Sclerosis	C0026769	KIF1B	23095	O60333	kinesin family member 1B	Cellular structure	213	0.516	0.808	1.0	0.46		1.0	7	1	2008	2014
Multiple Sclerosis	C0026769	HLA-DRA	3122	P01903	major histocompatibility complex, class II, DR alpha	Immune response	92	0.581	0.769	0.51949	0.44		1.0	5	11	1999	2010
Multiple Sclerosis	C0026769	CBLB	868	Q13191	Cbl proto-oncogene B	Enzyme	33	0.691	0.423	0.99825	0.44		0.8	5	1	2010	2017
Multiple Sclerosis	C0026769	STAT4	6775	Q14765	signal transducer and activator of transcription 4	Nucleic acid binding	316	0.471	0.769	0.7662	0.43		1.0	5	2	2008	2017
Multiple Sclerosis	C0026769	TNFAIP3	7128	P21580	TNF alpha induced protein 3	Enzyme	212	0.481	0.808	0.99972	0.42		1.0	4	2	2011	2015
Multiple Sclerosis	C0026769	TNFSF14	8740	O43557	TNF superfamily member 14	Signaling	143	0.529	0.769	0.051663	0.42		1.0	4	1	2011	2013
Multiple Sclerosis	C0026769	CD6	923	P30203	CD6 molecule	Enzyme	216	0.489	0.808	9.2695e-05	0.42		1.0	5	5	2009	2016
Multiple Sclerosis	C0026769	NLRP3	114548	Q96P20	NLR family pyrin domain containing 3		805	0.361	0.962	0.00081103	0.4		1.0	18	1	2010	2019
Multiple Sclerosis	C0026769	HLA-DPB1	3115	P04440	major histocompatibility complex, class II, DP beta 1	Immune response	324	0.453	0.923	5.3254e-10	0.4		0.88	25	0	1990	2018
Multiple Sclerosis	C0026769	HLA-DQB1	3119	P01920	major histocompatibility complex, class II, DQ beta 1	Immune response	504	0.407	0.885	0.0089259	0.4		0.912	34	0	1991	2019
Multiple Sclerosis	C0026769	ICAM1	3383	P05362	intercellular adhesion molecule 1		737	0.364	0.962	0.035295	0.4		0.846	13	2	1994	2019
Multiple Sclerosis	C0026769	IRF8	3394	Q02556	interferon regulatory factor 8	Transcription factor	149	0.539	0.808	0.94807	0.4		0.9	10	0	2009	2019
Multiple Sclerosis	C0026769	IFNB1	3456	P01574	interferon beta 1		426	0.421	0.846		0.4		0.958	308	0	1995	2020
Multiple Sclerosis	C0026769	IFNG	3458	P01579	interferon gamma		1519	0.288	0.962	0.47156	0.4		0.97	67	1	1994	2020
Multiple Sclerosis	C0026769	APOE	348	P02649	apolipoprotein E		1049	0.338	0.962	0.0018685	0.4		0.877	65	2	1994	2019
Multiple Sclerosis	C0026769	IL1B	3553	P01584	interleukin 1 beta		1801	0.276	0.962	0.13005	0.4		0.905	42	2	1997	2019
Multiple Sclerosis	C0026769	IL1RN	3557	P18510	interleukin 1 receptor antagonist		701	0.373	0.923	0.030914	0.4		0.722	18	1	1997	2015
Multiple Sclerosis	C0026769	IL7	3574	P13232	interleukin 7		275	0.464	0.808	0.92574	0.4		0.947	19	0	2007	2018
Multiple Sclerosis	C0026769	IL10	3586	P22301	interleukin 10		1679	0.281	0.923	0.0058874	0.4		0.922	64	3	1996	2019
Multiple Sclerosis	C0026769	IL17A	3605	Q16552	interleukin 17A		1074	0.324	0.923	0.043049	0.4		0.986	74	1	1999	2020
Multiple Sclerosis	C0026769	P2RX7	5027	Q99572	purinergic receptor P2X 7	Ion channel	337	0.45	0.808	3.3344e-11	0.4		1.0	12	1	2007	2019
